"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"110033 NOVA MAMORE";33869,34;41045,94;50528,97;41720,60;36305,19;36231,05;34783,97;29386,40;24148,72;16123,19;24902,82;24282,57;31168,45;32439,79;29655,84;16069,23;31884,19;21952,42;19600,62;19780,76;19377,10;20909,92;636167,08
"110034 ALVORADA D'OESTE";25969,16;25471,41;28052,75;19579,75;32334,02;32614,26;32220,05;28433,09;14744,80;30624,13;22469,77;28189,60;32088,36;36061,35;32513,63;27917,97;27021,46;23187,44;26093,98;40425,23;19810,37;21549,33;607371,91
"110037 ALTO ALEGRE DOS PARECIS";12319,18;10791,32;18931,13;20897,69;19222,87;11299,92;19354,54;10405,71;12877,94;12102,28;16241,48;17768,08;29256,63;21514,77;16425,11;17562,50;18811,75;20821,17;14098,85;17599,78;-;-;338302,70
"110040 ALTO PARAISO";16431,96;7272,90;5637,85;3208,25;7866,58;5909,19;5765,83;7034,56;8451,01;7614,34;10251,33;13286,36;9640,13;11123,94;9829,80;6284,74;10598,88;7928,64;5773,81;6802,20;-;-;166712,30
"110045 BURITIS";35414,22;47159,00;39431,45;30446,22;59556,37;65331,43;61392,20;47071,67;36792,53;55440,94;38271,01;53816,45;29013,21;66392,45;17154,53;55967,93;57693,08;52256,36;33316,82;45141,59;36640,69;33898,68;997598,83
"110050 NOVO HORIZONTE DO OESTE";-;-;44082,54;16002,26;13040,72;11901,56;14466,25;10895,81;7556,33;6560,09;14333,69;21653,10;31091,58;18319,44;14874,22;9012,30;8648,75;6918,19;12353,36;8815,56;-;-;270525,75
"110060 CACAULANDIA";1785,37;1232,15;2108,10;1361,10;804,28;827,81;880,36;705,87;1237,92;1381,46;3794,83;1477,98;2812,86;2321,49;2121,16;7432,38;-;-;-;-;-;-;32285,12
"110070 CAMPO NOVO DE RONDONIA";7591,73;4460,99;3539,87;3144,59;3115,32;2669,24;4079,65;5765,96;3594,61;3583,20;3496,94;2881,31;4095,66;2581,37;3515,76;2064,36;1298,21;2803,63;4271,03;2035,21;1490,65;1188,72;73268,01
"110080 CANDEIAS DO JAMARI";3334,09;6267,55;4643,01;3523,46;7776,31;4489,43;4308,51;5231,50;6437,65;1186,38;3182,61;4217,70;7967,30;7857,27;8697,88;9207,77;6166,59;7766,96;5370,20;11144,27;5211,43;18240,76;142228,63
"110090 CASTANHEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110092 CHUPINGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110094 CUJUBIM";76311,00;65197,79;113521,57;367164,43;312163,82;232154,70;240553,63;85747,10;34197,79;43473,65;56375,62;68010,29;77244,34;66544,88;51907,83;61872,80;125056,87;161895,84;153725,73;36404,97;25131,01;-;2454655,66
"110100 GOVERNADOR JORGE TEIXEIRA";2329,68;-;-;3697,76;2973,97;1785,18;5808,76;877,86;1164,84;1164,84;1469,93;1493,41;2897,77;6768,27;5081,71;1216,90;917,03;1750,08;2424,89;3467,22;3179,59;4537,99;55007,68
"110110 ITAPUA DO OESTE";1717,06;1851,19;2169,75;2028,29;1232,84;4873,77;4281,70;5699,33;1163,51;1317,74;4310,49;2533,45;5030,37;3705,02;5907,85;1131,84;5454,22;5685,87;4772,54;-;-;-;64866,83
"110120 MINISTRO ANDREAZZA";7808,15;6885,36;7452,20;11334,92;9816,17;8662,93;6448,07;9855,24;8881,58;5257,68;8383,77;6086,48;8333,41;8665,54;7995,72;9018,56;7485,51;7168,25;8746,53;9718,64;4804,82;-;168809,53
"110130 MIRANTE DA SERRA";22103,05;22189,89;32960,31;51502,65;27032,31;38463,43;60252,07;24198,04;7971,07;13806,61;21076,00;12545,82;8395,14;15216,10;16278,12;8400,12;16138,08;11833,16;12673,58;6533,24;19146,88;-;448715,67
"110140 MONTE NEGRO";23278,12;18899,14;43066,49;54773,04;46832,48;56940,02;44113,22;18125,99;36112,51;21182,14;24190,46;19333,86;23604,21;17698,53;37014,18;16990,90;68261,43;85745,42;147521,20;54466,21;54748,79;79031,37;991929,71
"110143 NOVA UNIAO";4821,77;2743,71;4408,69;1760,19;2403,30;2742,80;3650,46;2740,90;1708,42;2377,74;4127,22;3940,26;5427,40;5539,41;2335,12;4976,79;2925,92;2470,68;3396,31;2776,46;2465,92;-;69739,47
"110145 PARECIS";5078,23;13731,55;10632,61;7265,82;11695,61;6481,68;7555,39;8355,22;13068,28;7518,31;4960,79;6632,72;4605,81;18256,91;15055,43;9471,27;10179,67;7421,24;6236,68;4967,10;2080,59;-;181250,91
